--TAB SEPARATED DATA FILE--
CAMERA SETTINGS:
Resolution = (820, 616)
Shutter speed = 499907 microseconds
LED CYCLE:
Blue Illumination: 300s
Green Illumination: 1s
Number of Cycles: 0 <-- (0 is continuous loop)

ITERATION	DATE	TIME	TEMPERATURE	HUMIDITY	ISO	ANALOG GAIN	DIGITAL GAIN	
117	2019_12_12	04:13:41	28.0	56.0	100	2521/256	11/256
117	2019_12_12	04:13:41	28.0	56.0	800	331/128	11/256
118	2019_12_12	04:18:58	28.0	56.0	100	2521/256	11/256
118	2019_12_12	04:18:58	28.0	56.0	800	331/128	11/256
119	2019_12_12	04:24:14	28.0	56.0	100	2521/256	11/256
119	2019_12_12	04:24:14	28.0	56.0	800	331/128	11/256
120	2019_12_12	04:32:21	28.0	56.0	100	2521/256	11/256
120	2019_12_12	04:32:21	28.0	56.0	800	331/128	11/256
121	2019_12_12	04:37:40	28.0	56.0	100	2521/256	11/256
121	2019_12_12	04:37:40	28.0	57.0	800	331/128	11/256
122	2019_12_12	04:42:53	28.0	56.0	100	2521/256	11/256
122	2019_12_12	04:42:53	28.0	56.0	800	331/128	11/256
123	2019_12_12	04:50:05	28.0	56.0	100	2521/256	11/256
123	2019_12_12	04:50:05	28.0	57.0	800	331/128	11/256
124	2019_12_12	04:55:17	28.0	57.0	100	2521/256	11/256
124	2019_12_12	04:55:17	28.0	55.0	800	331/128	11/256
125	2019_12_12	05:00:31	28.0	57.0	100	2521/256	11/256
125	2019_12_12	05:00:31	28.0	56.0	800	331/128	11/256
126	2019_12_12	05:07:56	28.0	56.0	100	2521/256	11/256
126	2019_12_12	05:07:56	28.0	57.0	800	331/128	11/256
127	2019_12_12	05:13:12	28.0	56.0	100	2521/256	11/256
127	2019_12_12	05:13:12	28.0	57.0	800	331/128	11/256
128	2019_12_12	05:18:25	28.0	57.0	100	2521/256	11/256
128	2019_12_12	05:18:25	28.0	57.0	800	331/128	11/256
129	2019_12_12	05:25:48	28.0	57.0	100	2521/256	11/256
129	2019_12_12	05:25:48	28.0	56.0	800	331/128	11/256
130	2019_12_12	05:31:05	28.0	57.0	100	2521/256	11/256
130	2019_12_12	05:31:05	28.0	56.0	800	331/128	11/256
131	2019_12_12	05:36:24	28.0	57.0	100	2521/256	11/256
131	2019_12_12	05:36:24	28.0	56.0	800	331/128	11/256
132	2019_12_12	05:43:53	28.0	56.0	100	2521/256	11/256
132	2019_12_12	05:43:53	28.0	56.0	800	331/128	11/256
133	2019_12_12	05:49:12	28.0	56.0	100	2521/256	11/256
133	2019_12_12	05:49:12	28.0	57.0	800	331/128	11/256
134	2019_12_12	05:54:25	28.0	57.0	100	2521/256	11/256
134	2019_12_12	05:54:25	28.0	55.0	800	331/128	11/256
135	2019_12_12	06:01:47	28.0	57.0	100	2521/256	11/256
135	2019_12_12	06:01:47	28.0	56.0	800	331/128	11/256
136	2019_12_12	06:07:03	28.0	57.0	100	2521/256	11/256
136	2019_12_12	06:07:03	28.0	56.0	800	331/128	11/256
137	2019_12_12	06:12:22	28.0	56.0	100	2521/256	11/256
137	2019_12_12	06:12:22	28.0	57.0	800	331/128	11/256
138	2019_12_12	06:19:47	28.0	56.0	100	2521/256	11/256
138	2019_12_12	06:19:47	28.0	56.0	800	331/128	11/256
139	2019_12_12	06:25:05	28.0	56.0	100	2521/256	11/256
139	2019_12_12	06:25:05	28.0	57.0	800	331/128	11/256
140	2019_12_12	06:30:18	28.0	57.0	100	2521/256	11/256
140	2019_12_12	06:30:18	28.0	56.0	800	331/128	11/256
141	2019_12_12	06:37:48	28.0	56.0	100	2521/256	11/256
141	2019_12_12	06:37:48	28.0	56.0	800	331/128	11/256
142	2019_12_12	06:43:02	28.0	56.0	100	2521/256	11/256
142	2019_12_12	06:43:02	28.0	56.0	800	331/128	11/256
143	2019_12_12	06:48:17	28.0	57.0	100	2521/256	11/256
143	2019_12_12	06:48:17	28.0	56.0	800	331/128	11/256
144	2019_12_12	06:55:55	28.0	56.0	100	2521/256	11/256
144	2019_12_12	06:55:55	28.0	56.0	800	331/128	11/256
145	2019_12_12	07:01:11	28.0	57.0	100	2521/256	11/256
145	2019_12_12	07:01:11	28.0	56.0	800	331/128	11/256
146	2019_12_12	07:06:29	28.0	56.0	100	2521/256	11/256
146	2019_12_12	07:06:29	28.0	56.0	800	331/128	11/256
147	2019_12_12	07:14:12	28.0	56.0	100	2521/256	11/256
147	2019_12_12	07:14:12	28.0	56.0	800	331/128	11/256
148	2019_12_12	07:19:30	28.0	56.0	100	2521/256	11/256
148	2019_12_12	07:19:30	28.0	56.0	800	331/128	11/256
149	2019_12_12	07:24:53	28.0	56.0	100	2521/256	11/256
149	2019_12_12	07:24:53	28.0	57.0	800	331/128	11/256
150	2019_12_12	07:32:39	28.0	56.0	100	2521/256	11/256
150	2019_12_12	07:32:39	28.0	56.0	800	331/128	11/256
151	2019_12_12	07:37:55	28.0	56.0	100	2521/256	11/256
151	2019_12_12	07:37:55	28.0	56.0	800	331/128	11/256
152	2019_12_12	07:43:10	28.0	56.0	100	2521/256	11/256
152	2019_12_12	07:43:10	28.0	56.0	800	331/128	11/256
153	2019_12_12	07:50:54	28.0	56.0	100	2521/256	11/256
153	2019_12_12	07:50:54	28.0	56.0	800	331/128	11/256
154	2019_12_12	07:56:13	28.0	56.0	100	2521/256	11/256
154	2019_12_12	07:56:13	28.0	56.0	800	331/128	11/256
155	2019_12_12	08:01:28	28.0	56.0	100	2521/256	11/256
155	2019_12_12	08:01:28	28.0	56.0	800	331/128	11/256
156	2019_12_12	08:09:29	28.0	56.0	100	2521/256	11/256
156	2019_12_12	08:09:29	28.0	56.0	800	331/128	11/256
157	2019_12_12	08:14:50	28.0	56.0	100	2521/256	11/256
157	2019_12_12	08:14:50	28.0	56.0	800	331/128	11/256
158	2019_12_12	08:20:03	28.0	56.0	100	2521/256	11/256
158	2019_12_12	08:20:03	28.0	56.0	800	331/128	11/256
159	2019_12_12	08:28:09	28.0	56.0	100	2521/256	11/256
159	2019_12_12	08:28:09	28.0	56.0	800	331/128	11/256
160	2019_12_12	08:33:23	28.0	56.0	100	2521/256	11/256
160	2019_12_12	08:33:23	28.0	56.0	800	331/128	11/256
161	2019_12_12	08:38:44	28.0	56.0	100	2521/256	11/256
161	2019_12_12	08:38:44	28.0	57.0	800	331/128	11/256
162	2019_12_12	08:46:05	28.0	56.0	100	2521/256	11/256
162	2019_12_12	08:46:05	28.0	56.0	800	331/128	11/256
163	2019_12_12	08:51:21	28.0	56.0	100	2521/256	11/256
163	2019_12_12	08:51:21	28.0	56.0	800	331/128	11/256
164	2019_12_12	08:56:38	28.0	56.0	100	2521/256	11/256
164	2019_12_12	08:56:38	28.0	56.0	800	331/128	11/256
